训练轮数,充电站利润,电动汽车成本,拥堵成本,充电站策略熵,电动汽车策略熵,成本方差,充电站策略集中度
105,12.787140863788245,0.7771550448440769,0.16202471287703138,1.508834769030058,1.4903267538259521,0.05214291098769602,0.2914859738234905
106,12.629142382752548,0.7870231096611575,0.17106050875052367,1.4411669380625531,1.4951002132697409,0.061493376803712245,0.327238322251701
107,12.488861342923142,0.7810225707987626,0.17538395425014414,1.488803879941287,1.480387052998613,0.052961965018735076,0.3279070886318223
108,13.128409903429414,0.741969928318229,0.09826216432774691,1.5602630610245851,1.4976126215391843,0.05849190763328016,0.2725498629240758
109,13.39177259905407,0.7339560946171463,0.08041401200823511,1.5030449060550497,1.5026602355548702,0.06080551958923628,0.30600676637275914
110,13.747050591527485,0.7420871620952145,0.08911632423888273,1.4392808423641816,1.5055038454732637,0.05897745665138585,0.3874465143355548
111,13.300084517986498,0.733476540934319,0.08097056315546018,1.478605712626479,1.500666734626322,0.06071435232921947,0.3743298421717003
112,13.422101715507265,0.7381282160947993,0.08721756345938081,1.4341652286145206,1.502264363793066,0.05926743788099619,0.3888186534354873
113,13.564337965752026,0.7333684656244404,0.07244587457298658,1.3621473250982126,1.5086926405127838,0.062277247101099636,0.421184145934518
114,13.649453491717043,0.7336577207352797,0.06908927690888005,1.3607840521942538,1.5126158689438094,0.06298455522160072,0.4661660634024324
115,13.506779752878556,0.7434171339724236,0.09521743409248883,1.4523497794773061,1.5023258041164005,0.05942777833573902,0.3797304884057175
116,13.303416356105293,0.747564952931858,0.11329781804226818,1.5115318088505325,1.489981332235874,0.05718547656353188,0.299197641312739
117,13.272727967847922,0.7435539500596202,0.10540040459822443,1.521088097332339,1.4910487072026777,0.058654558680647166,0.2785925817707467
118,13.36646129689452,0.7258237286870284,0.07327424265951385,1.5112469765996013,1.494078947955367,0.06244405813427221,0.2737077420331669
119,13.367428041366788,0.7278586249104033,0.07106269892557726,1.5251234635097768,1.5003565531719258,0.06292736522092278,0.26234530996362826
120,13.159964292152655,0.7227174723708114,0.07399878047298376,1.529385683009171,1.4861302765833961,0.06270314000472677,0.24962741426262405
121,13.177156766359223,0.8331288673073906,0.23996825768917518,1.5182806154465172,1.496884585043556,0.06606083671546326,0.2701994135898096
122,13.081131762922377,0.7587230981134074,0.12805815418583522,1.520228932186742,1.4903926463979895,0.056123576375740926,0.26873060647774344
123,12.809456523342549,0.770304654492842,0.1555877085769273,1.5537623921801142,1.478068758796117,0.05519221433742973,0.26381446261048386
124,12.832380744393054,0.7384345464372696,0.09350255018995508,1.5636633873582715,1.492805253579882,0.06002580438047747,0.27246291067083006
125,12.50101838096333,0.7297537243053991,0.08820252353978901,1.5747176513091716,1.4849226422355428,0.05970388591796936,0.27893589481683245
126,12.61325655991347,0.741284098325682,0.08920175421288302,1.5818073276067468,1.5048037636019427,0.05959537016197605,0.26862442832996236
127,12.406762623423681,0.7428673842794454,0.09901020409989152,1.565640119922591,1.4974853605638672,0.05822563610279846,0.28154510952667894
128,12.457904215307776,0.7360533563569467,0.08739322298063676,1.558714261762252,1.4977113088039438,0.05977281626951919,0.2869252441110015
129,12.479850462460242,0.7421474823761385,0.1026508568087434,1.5347377900522572,1.4923903233596891,0.057628372941850234,0.2914979242093043
130,12.614309936605896,0.7304767370329198,0.07595968826463731,1.5313923173950135,1.5005998557469094,0.06143884064773779,0.287964885941021
131,12.785139707843031,0.7372560548923945,0.08189411259843375,1.552088685974608,1.5055992869300219,0.06075164923772314,0.2755400415018424
132,12.745897537842511,0.7331352742836488,0.08052022254746323,1.5561919992186022,1.4996891704829647,0.06161487528197603,0.26906988270475796
133,12.778845785821666,0.7249718569213752,0.07077112009181737,1.5675111044862426,1.495461982583721,0.06310112895823267,0.2583541481800531
134,12.853195116437153,0.7209419152719093,0.06529487525884053,1.5673079600234718,1.4940311129482948,0.06368287510533523,0.2558295281362967
135,13.071117019687046,0.7261620812843316,0.06880410862511233,1.568936332274296,1.500068424684516,0.0629002646460547,0.2632891425246067
136,12.865479273708575,0.7270826208623059,0.08631998645074601,1.548127122250644,1.4832963233205378,0.058732834372259034,0.2796498028474149
137,13.053172199242752,0.7089685012067207,0.04841413152700498,1.5228592188098395,1.4893619480186375,0.06744963341288994,0.30287313078646566
138,12.908113335509924,0.7210774477206802,0.07139577291330906,1.5239403590907603,1.485694829201643,0.06325887783001581,0.3037927715847965
139,13.105515480996571,0.7332209903219783,0.08786960885405018,1.5092672601395514,1.4922083619506343,0.05994442753100199,0.3126816314894787
140,13.331673814571559,0.7226539702644814,0.05606769444455905,1.4973893662264237,1.506239008373468,0.06581025053744838,0.32300950011952667
141,12.896514017889935,0.7105655199132082,0.06315273081630114,1.4956982528911822,1.4772051418848589,0.06355037226981278,0.3222278556553744
142,13.02203055505256,0.7218719580014418,0.07013826932365169,1.5127808995605543,1.4901129939679132,0.06238853019950548,0.3072857255543536
143,12.918795516246835,0.7147063141468294,0.05538071418356684,1.522095326865336,1.4930632167680857,0.06536635286968631,0.29524694536826024
144,13.017050191749163,0.7178891070376071,0.055355534490968514,1.5268848552844057,1.4985775285692682,0.06577938848275183,0.295430527725002
145,13.024913048357963,0.7160851432424021,0.05774152968065307,1.5237761160860233,1.4926146244795975,0.0649460759676049,0.2946509743194283
146,12.84240154388718,0.7279914262467136,0.08895267769033105,1.5233522087826534,1.480435656277991,0.05936510671675576,0.2901802607392983
147,12.829672714765213,0.7449853729587236,0.11143686423628087,1.5116563854410812,1.4843295454999856,0.05843887968495373,0.30096804421323486
148,12.696175751360233,0.7566870686901634,0.1366342955370606,1.5254572789730085,1.4758499726781806,0.055013734967547204,0.2876462082849368
149,12.549760048876031,0.7383126077665777,0.1161178384136068,1.5598143135817466,1.456207245158889,0.05610757571177542,0.28211422408417325
150,12.450251561506521,0.7592685276528998,0.1524639078230125,1.5261205494727101,1.4546579764446665,0.05265873646342831,0.2982338357926211
151,12.431623165719552,0.7457951109760736,0.13008985284929261,1.5196460126717788,1.4524997236140493,0.05407637279337352,0.29564470115239555
152,12.16791002070997,0.7593456290579312,0.1452382858810722,1.5074456605886604,1.4655327873921127,0.0531293203101239,0.3369925071921569
153,11.603298521325662,0.7225751134451269,0.09433680714375006,1.437101868516578,1.4363388448961822,0.05861058682413842,0.32835985449363103
154,11.761574563405361,0.7196365265051186,0.09020050605559861,1.4810453857526078,1.4320874295887684,0.05967183068216228,0.34083803812735264
155,10.92663512561307,0.7179685728470484,0.09452509913052057,1.411779197267069,1.4218169310378275,0.05838355856620867,0.35621106492427324
156,11.328982291651657,0.7328692171210217,0.11855884256169848,1.4205632485548672,1.4239824843434845,0.055634167270593685,0.3654195196618246
157,12.597749498113672,0.7184847050184068,0.0932439480207255,1.516378970824169,1.4272869426757975,0.059289572543347206,0.29708284103310706
158,13.049335198747354,0.7254689680384412,0.09428070376411718,1.485937786255974,1.4450220014866386,0.06010630100962336,0.3131025770853665
159,12.812789275479366,0.7156889784816702,0.09207026233238262,1.480477425578207,1.4253546919158482,0.0586773330820337,0.30568846472566436
160,12.775738224225945,0.7200007387866766,0.09928214359829773,1.466028269827126,1.4234849826466942,0.05762121665762555,0.3122258419442391
161,12.76357288121889,0.7204571327616679,0.09840023143923295,1.443428736974014,1.4246763056047198,0.057877411620654316,0.32723070926024306
162,12.874470176728577,0.71696389751595,0.08555596921826783,1.4364382958776878,1.4372937533876962,0.06047941093211257,0.3291299046099829
163,12.709805215836406,0.7189778328429763,0.09386003823935814,1.4610628541195883,1.4309791348637657,0.058826455818328086,0.3285127880786227
164,12.561965246095024,0.7163520457703728,0.09678259585509091,1.466879432560887,1.423160820196395,0.057388991954352264,0.3303945070027728
165,12.538684443295347,0.7197660205793384,0.10136569514876616,1.4892756536769929,1.4245309803565143,0.05682720407922034,0.3241139821479019
166,12.439424991961339,0.7258730751368833,0.10457798954794331,1.5392158236694757,1.437588693026335,0.05693426384782251,0.30876654068349974
167,12.303845157883254,0.7238386468322912,0.10413191557570828,1.5643040489731468,1.4370898420263347,0.056379938259481205,0.29403779957676635
168,12.217852292299163,0.7301077234558396,0.11670118155936446,1.5541891534754375,1.4356913771119246,0.054321823997982965,0.3034716476643177
169,12.124832864789989,0.7379435456686592,0.11678344040483404,1.5513776308168539,1.4556450714781328,0.055090287512707725,0.3150141837960796
170,11.995356286995959,0.745390415896852,0.12588372888567442,1.5522852675016827,1.4561248338567176,0.054469282539215194,0.31155120528095
